ac_no,ac_name,winner_party,winner_alliance,runner_up_party,runner_up_alliance,winner_votes,runner_up_votes,total_valid_votes,is_real_result
61,Harur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,64568,53147,117715,1
62,Chengam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,95939,83248,179187,1
63,Tiruvannamalai,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,116484,66136,182620,1
64,Kilpennathur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,99070,64404,163474,1
65,Kalasapakkam,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,84394,57980,142374,1
66,Polur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,66588,58315,124903,1
67,Arani,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,94074,86747,180821,1
68,Cheyyar,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,77766,69239,147005,1
69,Vandavasi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,80206,62138,142344,1
70,Gingee,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,88440,66383,154823,1
71,Mailam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,70880,58574,129454,1
72,Tindivanam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,61879,61778,123657,1
73,Vanur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,64167,53944,118111,1
74,Viluppuram,AIADMK,AIADMK_NDA,IUML,OTHERS,69421,47130,116551,1
75,Vikravandi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,63757,56845,120602,1
76,Tirukkoyilur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,93837,52780,146617,1
77,Ulundurpettai,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,81973,77809,159782,1
78,Rishivandiyam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,92607,72104,164711,1
79,Sankarapuram,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,90920,76392,167312,1
80,Kallakurichi,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,90108,86004,176112,1
81,Gangavalli,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,74301,72039,146340,1
82,Attur,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,82827,65493,148320,1
