year,election_type,party,seats_won,votes,vote_share
2016,Assembly,AIADMK,135,17616266,40.77
2016,Assembly,DMK,88,13669116,31.64
2016,Assembly,INC,8,2739866,6.34
2016,Assembly,PMK,0,2300558,5.319999999999999
2016,Assembly,DMDK,0,1034384,2.39
2016,Assembly,CPI,0,354545,0.8200000000000001
2016,Assembly,CPI(M),0,307303,0.7100000000000001
2016,Assembly,IUML,1,313808,0.73
