ac_no,ac_name,district,region,reservation,urban_rural_type,winner_2021,winner_party_2021,runner_up_2021,runner_up_party_2021,winner_votes_2021,runner_up_votes_2021,margin_votes_2021,margin_pct_2021,turnout_pct_2021,dmk_vote_share_2021,aiadmk_vote_share_2021,bjp_vote_share_2021,congress_vote_share_2021,ntk_vote_share_2021,others_vote_share_2021,dmk_alliance_vote_share_2024,aiadmk_alliance_vote_share_2024,bjp_nda_vote_share_2024,ntk_vote_share_2024,others_vote_share_2024,winning_alliance_2024,contesting_alliance_2026,dmk_alliance_candidate_2026,aiadmk_nda_candidate_2026,tvk_candidate_2026,ntk_candidate_2026,bjp_candidate_2026_if_separate,incumbent_party,incumbent_candidate,incumbent_contesting_again,alliance_change_flag,rebel_candidate_flag,strong_local_candidate_flag
16,Egmore,Chennai,Chennai_Metro,SC,needs_source,I.PARANTHAMEN,DMK,B.JOHN PANDIAN,AIADMK,68832,30064,38768,32.5,61.13,57.7106,25.2065,0.0,0.0,5.262,11.8209,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
17,Royapuram,Chennai,Chennai_Metro,GEN,needs_source,MURTHY.R.IDREAM,DMK,JAYAKUMAR.D,AIADMK,64424,36645,27779,22.92,62.6,53.1591,30.2374,0.0,0.0,6.5624,10.0411,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
18,Harbour,Chennai,Chennai_Metro,GEN,needs_source,SEKARBABU. P.K,DMK,VINOJ. P. SELVAM,BJP,59317,32043,27274,26.83,57.64,58.3542,0.0,31.5229,0.0,3.3025,6.8204,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
19,Chepauk-Thiruvallikeni,Chennai,Chennai_Metro,GEN,needs_source,UDHAYANIDHI STALIN,DMK,KASSALI A.V.A,PMK,93285,23930,69355,50.47,58.33,67.8905,0.0,0.0,0.0,6.6904,25.4191,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
20,Thousand Lights,Chennai,Chennai_Metro,GEN,needs_source,EZHILAN N,DMK,KUSHBOO SUNDAR,BJP,71867,39405,32462,23.88,56.25,52.8667,0.0,28.9871,0.0,6.5352,11.611,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
21,Anna Nagar,Chennai,Chennai_Metro,GEN,needs_source,M.K. Mohan,DMK,S. Gokula Indira,AIADMK,80054,52609,27445,16.62,57.33,48.4894,31.8657,0.0,0.0,6.303,13.3419,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
22,Virugampakkam,Chennai,Chennai_Metro,GEN,needs_source,AMV.PRABHAKARA RAJA,DMK,VIRUGAI V.N.RAVI,AIADMK,74351,55984,18367,10.86,57.59,43.972,33.1096,0.0,0.0,6.0235,16.8949,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
23,Saidapet,Chennai,Chennai_Metro,GEN,needs_source,SUBRAMANIAN. MA,DMK,SAIDAI DURAISAMY,AIADMK,80194,50786,29408,18.34,57.36,50.019,31.6765,0.0,0.0,6.6845,11.62,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
24,Thiyagarayanagar,Chennai,Chennai_Metro,GEN,needs_source,KARUNANITHI J,DMK,SATHIYANAARAYANAN B,AIADMK,56035,55898,137,0.1,55.99,40.5716,40.4724,0.0,0.0,5.9979,12.9581,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
25,Mylapore,Chennai,Chennai_Metro,GEN,needs_source,VELU.DHA,DMK,NATARAJ.R,AIADMK,68392,55759,12633,8.23,56.6,44.5754,36.3417,0.0,0.0,6.5984,12.4845,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
