year,election_type,party,seats_won,votes,vote_share
2021,Assembly,DMK,133,17430179,37.7
2021,Assembly,INC,18,1976527,4.2700000000000005
2021,Assembly,CPI,2,504537,1.09
2021,Assembly,CPI(M),2,390819,0.8500000000000001
2021,Assembly,VCK,4,457763,0.9900000000000001
2021,Assembly,AIADMK,66,15391055,33.29
2021,Assembly,PMK,5,1758774,3.8
2021,Assembly,BJP,4,1213510,2.62
2021,Assembly,NTK,0,3040974,6.58
2021,Assembly,AMMK,0,1085915,2.35
2021,Assembly,MNM,0,1210337,2.62
