ac_no,ac_name,district,region,reservation,urban_rural_type,total_voters,male_voters,female_voters,gender_gap,first_time_voters,winner_2016,winner_party_2016,runner_up_2016,runner_up_party_2016,winner_votes_2016,runner_up_votes_2016,margin_votes_2016,margin_pct_2016,turnout_pct_2016,dmk_vote_share_2016,aiadmk_vote_share_2016,bjp_vote_share_2016,congress_vote_share_2016,ntk_vote_share_2016,others_vote_share_2016,winner_2021,winner_party_2021,runner_up_2021,runner_up_party_2021,winner_votes_2021,runner_up_votes_2021,margin_votes_2021,margin_pct_2021,turnout_pct_2021,dmk_vote_share_2021,aiadmk_vote_share_2021,bjp_vote_share_2021,congress_vote_share_2021,ntk_vote_share_2021,others_vote_share_2021
56,Thalli,Krishnagiri,North,GEN,needs_source,,,,,,PRAKAASHY.,DMK,RAMACHANDRANT.,CPI,74429.0,68184.0,6245.0,3.3,82.42,39.3076,16.591,1.5358,0.0,0.2287,42.3369,RAMACHANDRAN.T,CPI,Dr.NAGESH KUMAR.C,BJP,120641,64415,56226,28.98,77.06,0.0,0.0,33.1998,0.0,1.9462,64.854
57,Palacode,Dharmapuri,North,GEN,needs_source,,,,,,ANBALAGAN. K.P.,AIADMK,MURUGAN. P.K.,DMK,76143.0,70160.0,5983.0,3.17,88.57,37.1675,40.337,0.0,0.0,0.2665,22.229,ANBALAGAN.K.P.,AIADMK,MURUGAN.P.K.,DMK,110070,81970,28100,13.6,87.37,39.6767,53.2782,0.0,0.0,3.729,3.3161
58,Pennagaram,Dharmapuri,North,GEN,needs_source,,,,,,INBASEKARAN. P.N.P.,DMK,ANBUMANI RAMADOSS,PMK,76848.0,58402.0,18446.0,9.24,88.04,38.4943,25.8908,0.0,0.0,0.3446,35.2703,MANI. G.K,PMK,INBASEKARAN. P.N.P,DMK,106123,84937,21186,10.07,85.0,40.3875,0.0,0.0,0.0,4.2533,55.3592
59,Dharmapuri,Dharmapuri,North,GEN,needs_source,,,,,,SUBRAMANI. P.,DMK,ELANGOVAN. P.D.,AIADMK,71056.0,61380.0,9676.0,4.66,82.23,34.2478,29.5841,0.7741,0.0,0.5846,34.8094,VENKATESHWARAN.S.P.,PMK,SUBRAMANI.P,DMK,105630,78770,26860,12.36,79.69,36.2439,0.0,0.0,0.0,4.0031,59.753
60,Pappireddippatti,Dharmapuri,North,GEN,needs_source,,,,,,PALANIYAPPAN. P,AIADMK,SATHIYAMOORTHY. A,PMK,74234.0,61521.0,12713.0,6.09,85.78,26.878,35.5605,0.0,0.0,0.2817,37.2798,GOVINDASAMY.A,AIADMK,PRABHURAJASEKAR.M,DMK,114507,77564,36943,16.72,82.15,35.0978,51.8145,0.0,0.0,3.4268,9.6609
61,Harur,Dharmapuri,North,SC,needs_source,,,,,,R.MURUGAN,AIADMK,S.RAJENDRAN,DMK,64568.0,53147.0,11421.0,6.01,84.3,27.9524,33.9592,1.0245,0.0,0.3298,36.7341,SAMPATHKUMAR.V,AIADMK,KUMAR.A,CPI(M),99061,68699,30362,15.29,78.46,0.0,49.8884,0.0,0.0,5.5146,44.597
62,Chengam,Tiruvannamalai,North,SC,needs_source,,,,,,GIRI .M.P,DMK,DINAGARAN. M,AIADMK,95939.0,83248.0,12691.0,6.03,84.16,45.5977,39.566,0.4201,0.0,0.3165,14.0997,GIRI.M.P,DMK,NAINAKANNU.M.S,AIADMK,108081,96511,11570,5.17,80.66,48.2612,43.0949,0.0,0.0,5.3941,3.2498
63,Tiruvannamalai,Tiruvannamalai,North,GEN,needs_source,,,,,,VELUE.V.,DMK,RAJANK,AIADMK,116484.0,66136.0,50348.0,24.7,79.87,57.149,32.4474,0.9493,0.0,0.8272,8.6271,E V VELU,DMK,S THANIGAIVEL,BJP,137876,43203,94673,45.33,71.69,66.0212,0.0,20.6875,0.0,6.7014,6.5899
64,Kilpennathur,Tiruvannamalai,North,GEN,needs_source,,,,,,PITCHANDI K,DMK,SELVAMANI K,AIADMK,99070.0,64404.0,34666.0,17.57,84.45,50.2162,32.6448,0.6128,0.0,0.3933,16.1329,K.Pitchandi,DMK,K.Selvakumar,PMK,104675,77888,26787,13.14,79.35,51.34,0.0,0.0,0.0,5.6605,42.9995
65,Kalasapakkam,Tiruvannamalai,North,GEN,needs_source,,,,,,PANNEERSELVAM V,AIADMK,KUMAR G,INC,84394.0,57980.0,26414.0,14.21,84.75,0.0,45.4075,0.0,31.1957,0.4175,22.9793,Saravanan.P.S.T,DMK,Panneerselvam.V,AIADMK,94134,84912,9222,4.69,80.36,47.9214,43.2267,0.0,0.0,4.4911,4.3608
66,Polur,Tiruvannamalai,North,GEN,needs_source,,,,,,SEKARAN.K.V,DMK,MURUGAN.M,AIADMK,66588.0,58315.0,8273.0,4.23,85.86,34.0231,29.796,0.6295,0.0,0.3188,35.2326,Agri KRISHNAMURTHY. S S,AIADMK,SEKARAN. K.V,DMK,97732,88007,9725,4.81,82.33,43.5652,48.3793,0.0,0.0,5.0477,3.0078
67,Arani,Tiruvannamalai,North,GEN,needs_source,,,,,,RAMACHANDRAN S,AIADMK,BABU S,DMK,94074.0,86747.0,7327.0,3.5,81.75,41.3978,44.8944,0.6223,0.0,0.4161,12.6694,S.RAMACHANDRAN,AIADMK,S.S.ANBALAGAN,DMK,102961,99833,3128,1.41,79.84,45.0872,46.4999,0.0,0.0,4.738,3.6749
68,Cheyyar,Tiruvannamalai,North,GEN,needs_source,,,,,,MOHAN K,AIADMK,DR. VISHNUPRASAD M K,INC,77766.0,69239.0,8527.0,4.14,84.67,0.0,37.7848,1.1603,33.6417,0.4732,26.94,JOTHI. O,DMK,DUSI. K. MOHAN,AIADMK,102460,90189,12271,5.72,81.69,47.7758,42.054,0.0,0.0,5.685,4.4852
69,Vandavasi,Tiruvannamalai,North,SC,needs_source,,,,,,AMBETHKUMAR S,DMK,MEGANATHAN V,AIADMK,80206.0,62138.0,18068.0,9.96,81.58,44.1965,34.2403,0.0,0.0,0.3775,21.1857,Ambethkumar S,DMK,Murali S,PMK,102064,66111,35953,19.33,76.81,54.8808,0.0,0.0,0.0,4.9921,40.1271
70,Gingee,Viluppuram,North,GEN,needs_source,,,,,,MASTHAN K S,DMK,GOVINDASAMY A,AIADMK,88440.0,66383.0,22057.0,10.97,79.96,43.9947,33.0224,0.7178,0.0,0.289,21.9761,MASTHAN K S,DMK,RAJENDIRAN P,PMK,109625,73822,35803,17.31,78.21,52.9897,0.0,0.0,0.0,4.7951,42.2152
71,Mailam,Viluppuram,North,GEN,needs_source,,,,,,MASILAMANI R,DMK,ANNADURAI K,AIADMK,70880.0,58574.0,12306.0,7.19,81.0,41.3992,34.2116,0.0,0.0,0.3925,23.9967,SIVAKUMAR C,PMK,Dr. MASILAMANI R,DMK,81044,78814,2230,1.26,79.5,44.5305,0.0,0.0,0.0,4.7122,50.7573
72,Tindivanam,Viluppuram,North,SC,needs_source,,,,,,SEETHAPATHY P,DMK,RAJENDRAN S P,AIADMK,61879.0,61778.0,101.0,0.06,78.94,35.3291,35.2715,0.8615,0.0,0.5184,28.0195,ARJUNAN P,AIADMK,SEETHAPATHY P,DMK,87152,77399,9753,5.34,78.43,42.4016,47.7446,0.0,0.0,5.0417,4.8121
73,Vanur,Viluppuram,North,SC,needs_source,,,,,,CHAKRAPANI M,AIADMK,MYDILI R,DMK,64167.0,53944.0,10223.0,5.86,78.83,30.9262,36.7871,0.9838,0.0,0.4569,30.846,CHAKRAPANI M,AIADMK,VANNI ARASU,VCK,92219,70492,21727,11.92,79.79,0.0,50.6119,0.0,0.0,4.7127,44.6754
74,Viluppuram,Viluppuram,North,GEN,needs_source,,,,,,SHANMUGAM C VE,AIADMK,AMEER ABBAS S M,IUML,69421.0,47130.0,22291.0,11.8,76.4,0.0,36.7377,1.1579,0.0,0.6514,61.453,LAKSHMANAN R,DMK,SHANMUGAM C Ve,AIADMK,102271,87403,14868,7.26,76.97,49.9224,42.6647,0.0,0.0,3.1119,4.301
75,Vikravandi,Viluppuram,North,GEN,needs_source,,,,,,RATHAMANI.K,DMK,VELU R,AIADMK,63757.0,56845.0,6912.0,3.87,81.71,35.6908,31.8215,0.7227,0.0,0.3325,31.4325,PUGAZHENTHI N,DMK,MUTHAMILSELVAN R,AIADMK,93730,84157,9573,4.94,81.39,48.41,43.4657,0.0,0.0,4.2434,3.8809
76,Tirukkoyilur,Viluppuram,North,GEN,needs_source,,,,,,PONMUDY K,DMK,GOTHANDARAMAN G,AIADMK,93837.0,52780.0,41057.0,21.79,78.82,49.7973,28.0092,0.6251,0.0,0.3885,21.1799,K.PONMUDY,DMK,VAT.KALIVARADHAN,BJP,110980,51300,59680,30.42,76.27,56.5598,0.0,26.1445,0.0,5.922,11.3737
77,Ulundurpettai,Kallakurichi,North,GEN,needs_source,,,,,,KUMARAGURU R.,AIADMK,VASANTHAVEL G.R.,DMK,81973.0,77809.0,4164.0,1.83,82.89,34.2054,36.0359,0.0,0.0,0.2304,29.5283,MANIKANNAN A J,DMK,KUMARAGURU R,AIADMK,115451,110195,5256,2.15,82.62,47.1511,45.0046,0.0,0.0,3.6757,4.1686
78,Rishivandiyam,Kallakurichi,North,GEN,needs_source,,,,,,KARTHIKEYAN.K,DMK,DHANDAPANI.K,AIADMK,92607.0,72104.0,20503.0,10.42,80.47,47.081,36.6574,0.0,0.0,0.3976,15.864,KARTHIKEYAN K,DMK,SANTHOSH S A,AIADMK,113912,72184,41728,19.4,80.18,52.9562,33.5574,0.0,0.0,5.6093,7.8771
79,Sankarapuram,Kallakurichi,North,GEN,needs_source,,,,,,UDHAYASURIYAN.T,DMK,MOHAN P,AIADMK,90920.0,76392.0,14528.0,7.15,81.07,44.7232,37.5769,0.0,0.0,0.3261,17.3738,UDHAYASURIYAN T,DMK,Dr.RAJA G,PMK,121186,75223,45963,21.3,79.58,56.1561,0.0,0.0,0.0,4.575,39.2689
80,Kallakurichi,Kallakurichi,North,SC,needs_source,,,,,,PRABHU A,AIADMK,KAMARAJ P,DMK,90108.0,86004.0,4104.0,1.92,80.91,40.2416,42.1619,0.0,0.0,0.5526,17.0439,Senthilkumar.M,AIADMK,Manirathinem.K.I,INC,110643,84752,25891,11.46,78.16,0.0,48.9879,0.0,37.5245,7.294,6.1936
81,Gangavalli,Salem,West,SC,needs_source,,,,,,MARUTHAMUTHU.A,AIADMK,REKHA PRIYADHARSHINI.J,DMK,74301.0,72039.0,2262.0,1.29,80.41,40.9357,42.221,1.1496,0.0,0.5234,15.1703,"NALLATHAMBI,A.",AIADMK,"REKHA PRIYADHARSHINI,J.",DMK,89568,82207,7361,3.95,77.11,44.0781,48.025,0.0,0.0,4.9988,2.8981
82,Attur,Salem,West,SC,needs_source,,,,,,CHINNATHAMBI R M,AIADMK,ARTHANARI S K,INC,82827.0,65493.0,17334.0,9.28,79.78,0.0,44.3428,0.0,35.0627,0.8196,19.7749,"JAYASANKARAN, A.P.",AIADMK,"CHINNADURAI, K.",DMK,95308,87051,8257,4.13,77.26,43.5815,47.7153,0.0,0.0,5.1231,3.5801
83,Yercaud,Salem,West,ST,needs_source,,,,,,CHITRA.G,AIADMK,TAMILSELVAN.C,DMK,100562.0,83168.0,17394.0,7.82,85.55,37.3678,45.183,0.9997,0.0,0.5684,15.8811,G. Chitra,AIADMK,C. TAMILSELVAN,DMK,121561,95606,25955,10.86,83.09,40.0152,50.8785,0.0,0.0,5.57,3.5363
84,Omalur,Salem,West,GEN,needs_source,,,,,,VETRIVEL.S,AIADMK,AMMASI.S,DMK,89169.0,69213.0,19956.0,8.78,85.48,30.4507,39.2305,0.0,0.0,0.4153,29.9035,R.MANI,AIADMK,RANGARAJAN MOHAN KUMARAMANGALAM,INC,142488,87194,55294,22.2,83.28,0.0,57.2179,0.0,35.0139,3.7811,3.9871
85,Mettur,Salem,West,GEN,needs_source,,,,,,SEMMALAI.S,AIADMK,PARTHIBAN.S.R,DMK,72751.0,66469.0,6282.0,3.03,78.87,32.0218,35.0482,0.6879,0.0,0.4726,31.7695,SADHASIVAM.S,PMK,SRINIVASAPERUMAL.S,DMK,97055,96399,656,0.3,75.01,44.1302,0.0,0.0,0.0,4.17,51.6998
86,Edappadi,Salem,West,GEN,needs_source,,,,,,PALANISWAMI. K,AIADMK,ANNADURAI. N,PMK,98703.0,56681.0,42022.0,18.62,86.35,24.4407,43.7428,0.0,0.0,0.4303,31.3862,EDAPPADI PALANISWAMI. K,AIADMK,SAMBATHKUMAR. T,DMK,163154,69352,93802,37.93,85.64,28.0436,65.9739,0.0,0.0,2.6793,3.3032
87,Sankari,Salem,West,GEN,needs_source,,,,,,RAJA.S,AIADMK,RAJESWARAN.T.K,INC,96202.0,58828.0,37374.0,17.31,84.04,0.0,44.5662,1.475,27.2525,0.7046,26.0017,"SUNDARARAJAN, S.",AIADMK,"RAJESH, K.M.",DMK,115472,95427,20045,8.63,83.71,41.0886,49.7195,0.0,0.0,4.6769,4.515
88,Salem West,Salem,West,GEN,needs_source,,,,,,VENKATACHALAM.G,AIADMK,PANNEER SELVAM.C.,DMK,80755.0,73508.0,7247.0,3.58,74.66,36.3042,39.8833,0.0,0.0,0.6786,23.1339,ARUL. R,PMK,RAJENDRAN. A,DMK,105483,83984,21499,9.92,71.81,38.7688,0.0,0.0,0.0,4.9246,56.3066
89,Salem North,Salem,West,GEN,needs_source,,,,,,RAJENDRAN.R,DMK,SARAVANAN.K.R.S,AIADMK,86583.0,76710.0,9873.0,5.15,72.11,45.1376,39.9906,3.0873,0.0,1.0187,10.7658,R. RAJENDRAN,DMK,G.VENKATACHALAM,AIADMK,93432,85844,7588,3.75,72.14,46.1675,42.4181,0.0,0.0,4.0296,7.3848
90,Salem South,Salem,West,GEN,needs_source,,,,,,SAKTHIVEL A B,AIADMK,GUNASEKARAN M,DMK,101696.0,71243.0,30453.0,15.39,75.18,36.0015,51.3904,2.368,0.0,0.9035,9.3366,E.BALASUBRAMANIAN,AIADMK,A.S.SARAVANAN,DMK,97506,74897,22609,11.31,76.0,37.4519,48.7574,0.0,0.0,5.0885,8.7022
91,Veerapandi,Salem,West,GEN,needs_source,,,,,,MANONMANI.P,AIADMK,RAJENDRAN. A,DMK,94792.0,80311.0,14481.0,7.01,86.4,38.8505,45.8557,0.0,0.0,0.5965,14.6973,"RAJAMUTHU, M.",AIADMK,"THARUN, A.K.",DMK,111682,91787,19895,8.89,85.64,41.0309,49.9245,0.0,0.0,4.3835,4.6611
92,Rasipuram,Namakkal,West,SC,needs_source,,,,,,SAROJA V. DR,AIADMK,DURAISAMY V.P,DMK,86901.0,77270.0,9631.0,5.15,84.25,41.3498,46.5037,1.2709,0.0,1.1109,9.7647,MATHIVENTHAN M,DMK,SAROJA V. Dr,AIADMK,90727,88775,1952,0.99,82.05,46.0768,45.0854,0.0,0.0,5.7363,3.1015
93,Senthamangalam,Namakkal,West,ST,needs_source,,,,,,CHANDRASEKARAN C,AIADMK,PONNUSAMY K,DMK,91339.0,79006.0,12333.0,6.49,82.6,41.6003,48.0942,0.0,0.0,1.1684,9.1371,PONNUSAMY K,DMK,CHANDRAN S,AIADMK,90681,80188,10493,5.27,80.93,45.5146,40.2479,0.0,0.0,5.8494,8.3881
94,Namakkal,Namakkal,West,GEN,needs_source,,,,,,BASKAR. K.P.P,AIADMK,CHEZHIAN. R,INC,89076.0,75542.0,13534.0,6.96,80.14,0.0,45.8113,1.4148,38.8509,1.4035,12.5195,RAMALINGAM P,DMK,BASKAR K.P.P.,AIADMK,106494,78633,27861,13.48,78.57,51.5063,38.0312,0.0,0.0,4.8956,5.5669
95,Paramathi-Velur,Namakkal,West,GEN,needs_source,,,,,,MOORTHIY K S,DMK,RAJENDHIRAN R,AIADMK,74418.0,73600.0,818.0,0.47,84.03,42.4503,41.9837,2.466,0.0,0.9372,12.1628,SEKAR S,AIADMK,MOORTHIY K S,DMK,86034,78372,7662,4.17,81.14,42.6637,46.8347,0.0,0.0,6.3605,4.1411
96,Tiruchengodu,Namakkal,West,GEN,needs_source,,,,,,SARASWATHI PON,AIADMK,ELANGOAVAN BAR,DMK,73103.0,69713.0,3390.0,1.92,81.47,39.4831,41.4031,1.4154,0.0,1.1146,16.5838,ESWARAN E R,DMK,SARASWATHI PON,AIADMK,81688,78826,2862,1.55,78.71,44.2348,42.685,0.0,0.0,7.5633,5.5169
97,Kumarapalayam,Namakkal,West,GEN,needs_source,,,,,,THANGAMANI P,AIADMK,YUVARAJ P,DMK,103032.0,55703.0,47329.0,25.36,80.8,29.8432,55.2001,1.0613,0.0,1.558,12.3374,THANGAMANI.P,AIADMK,M.VENKATACHALAM,DMK,100800,69154,31646,15.67,78.85,34.2474,49.9195,0.0,0.0,6.5569,9.2762
98,Erode East,Erode,West,GEN,needs_source,,,,,,THENNARASU K S,AIADMK,CHANDHIRAKUMAR V C,DMK,64879.0,57085.0,7794.0,5.27,69.57,38.5663,43.8318,3.7489,0.0,1.5282,12.3248,"THIRUMAHAN EVERAA,E.",INC,"YUVARAJA,M.",AIADMK,67300,58396,8904,5.86,66.24,0.0,38.4091,0.0,44.2655,7.6488,9.6766
99,Erode West,Erode,West,GEN,needs_source,,,,,,RAMALINGAM K.V.,AIADMK,MUTHUSAMY S,DMK,82297.0,77391.0,4906.0,2.59,73.91,40.8683,43.459,2.2058,0.0,1.2927,12.1742,Muthusamy S,DMK,Ramalingam K V,AIADMK,100757,78668,22089,10.74,69.36,49.0113,38.2666,0.0,0.0,6.4953,6.2268
100,Modakkurichi,Erode,West,GEN,needs_source,,,,,,SIVASUBRAMANI V.P.,AIADMK,SACHIDANANDAM P.,DMK,77067.0,74845.0,2222.0,1.26,79.58,42.3629,43.6205,2.2935,0.0,0.9696,10.7535,SARASWATHI.C,BJP,SUBBULAKSHMI JEGADEESAN,DMK,78125,77844,281,0.15,75.26,42.8051,0.0,42.9596,0.0,7.1177,7.1176
101,Dharapuram,Tiruppur,West,SC,needs_source,,,,,,KALIMUTHU. V.S,INC,PONNUSAMY. K,AIADMK,83538.0,73521.0,10017.0,5.48,76.83,0.0,40.195,4.2387,45.6714,0.7381,9.1568,KAYALVIZHI N,DMK,MURUGAN L,BJP,89986,88593,1393,0.72,74.15,46.3867,0.0,45.6686,0.0,3.4811,4.4636
102,Kangayam,Tiruppur,West,GEN,needs_source,,,,,,THANIYARASU U,AIADMK,GOPI P,INC,83325.0,70190.0,13135.0,7.12,78.89,0.0,45.1802,3.8828,38.0582,1.5567,11.3221,SAMINATHAN.M.P,DMK,RAMALINGAM.A.S,AIADMK,94197,86866,7331,3.67,77.19,47.1414,43.4726,0.0,0.0,5.6586,3.7274
103,Perundurai,Erode,West,GEN,needs_source,,,,,,VENKATACHALAM.N.D,AIADMK,SAMY.K.P (A) MOHANASUNDARAM.P,DMK,80292.0,67521.0,12771.0,7.01,85.62,37.0459,44.0528,1.4402,0.0,0.806,16.6551,"JAYAKUMAR, S.",AIADMK,KKC BALU,DMK,85125,70618,14507,7.64,82.6,37.1981,44.8397,0.0,0.0,5.4224,12.5398
104,Bhavani,Erode,West,GEN,needs_source,,,,,,KARUPPANAN K C,AIADMK,SIVAKUMAR N,DMK,85748.0,60861.0,24887.0,13.17,82.85,32.2101,45.3813,1.3125,0.0,0.9442,20.1519,KARUPPANAN.K.C,AIADMK,DURAIRAJ.K.P,DMK,100915,78392,22523,11.18,83.5,38.9264,50.1105,0.0,0.0,5.1995,5.7636
105,Anthiyur,Erode,West,GEN,needs_source,,,,,,E.M.R.RAJA ALIAS RAJAKRISHNAN.K.R,AIADMK,VENKATACHALAM A G,DMK,71575.0,66263.0,5312.0,3.13,81.67,39.0745,42.207,1.157,0.0,0.6492,16.9123,VENKATACHALAM.A.G,DMK,SHANMUGAVEL.K.S,AIADMK,79096,77821,1275,0.72,79.69,44.8428,44.12,0.0,0.0,4.6659,6.3713
106,Gobichettipalayam,Erode,West,GEN,needs_source,,,,,,SENGOTTAIYAN K.A,AIADMK,SARAVANAN S.V,INC,96177.0,84954.0,11223.0,5.48,84.32,0.0,47.0009,1.5389,41.5163,0.8195,9.1244,SENGOTTAIYAN K.A,AIADMK,MANIMARAN G.V,DMK,108608,80045,28563,13.33,82.52,37.3552,50.6848,0.0,0.0,5.469,6.491
107,Bhavanisagar,Erode,West,SC,needs_source,,,,,,ESWARAN.S,AIADMK,SATHYA.R,DMK,83006.0,69902.0,13104.0,6.67,81.97,35.5643,42.2313,1.8097,0.0,0.6365,19.7582,A.Bannari,AIADMK,P.L SUNDARAM,CPI,99181,83173,16008,7.98,77.37,0.0,49.4503,0.0,0.0,4.2465,46.3032
108,Udhagamandalam,The Nilgiris,West,GEN,needs_source,,,,,,GANESH R.,INC,VINOTH,AIADMK,67747.0,57329.0,10418.0,7.43,69.08,0.0,40.904,4.1511,48.3372,0.5337,6.074,"GANESH, R.",INC,"BHOJARAJAN, M.",BJP,65530,60182,5348,3.79,67.82,0.0,0.0,42.6514,46.4416,4.5223,6.3847
109,Gudalur,The Nilgiris,West,SC,needs_source,,,,,,THIRAVIDAMANIM.,DMK,KALAISELVAN S.,AIADMK,62128.0,48749.0,13379.0,10.21,72.78,47.3916,37.186,4.232,0.0,1.7903,9.4001,PON.JAYASEELAN,AIADMK,"KASILINGAM, S.",DMK,64496,62551,1945,1.41,72.15,45.2426,46.6494,0.0,0.0,5.2923,2.8157
110,Coonoor,The Nilgiris,West,GEN,needs_source,,,,,,RAMU A.,AIADMK,MUBARAK B. M.,DMK,61650.0,57940.0,3710.0,2.75,71.71,42.9599,45.7107,2.6299,0.0,0.6095,8.09,"Ramachandran, K.",DMK,"Vinoth, D.",AIADMK,61820,57715,4105,3.02,69.79,45.4867,42.4662,0.0,0.0,5.336,6.7111
111,Mettuppalayam,Coimbatore,West,GEN,needs_source,,,,,,CHINNARAJ.O.K,AIADMK,SURENDRAN. S.,DMK,93595.0,77481.0,16114.0,7.65,75.51,36.7625,44.4081,5.2363,0.0,0.716,12.8771,SELVARAJ A K,AIADMK,SHANMUGASUNDARAM T R,DMK,105231,102775,2456,1.09,75.14,45.6609,46.7521,0.0,0.0,4.8666,2.7204
112,Avanashi,Tiruppur,West,SC,needs_source,,,,,,DHANAPAL P,AIADMK,ANANDHAN E,DMK,93366.0,62692.0,30674.0,15.81,77.76,32.3051,48.1114,4.1641,0.0,0.7802,14.6392,"DHANAPAL, P",AIADMK,ATHIYAMAAN RAJU,DMK,117284,66382,50902,23.94,75.18,31.2199,55.1595,0.0,0.0,6.2344,7.3862
113,Tiruppur North,Tiruppur,West,GEN,needs_source,,,,,,VIJAYAKUMAR KN,AIADMK,SAMINATHAN M P,DMK,106717.0,68943.0,37774.0,17.19,66.62,31.3718,48.5605,3.821,0.0,1.3337,14.913,VIJEYAKUMAR.K.N,AIADMK,RAVI (Alias) SUBRAMANIAN . M,CPI,113384,73282,40102,16.84,62.44,0.0,47.6219,0.0,0.0,9.7063,42.6718
114,Tiruppur South,Tiruppur,West,GEN,needs_source,,,,,,GUNASEKARAN S,AIADMK,SELVARAJ K,DMK,73351.0,57418.0,15933.0,9.71,66.29,34.9756,44.681,4.6538,0.0,1.5265,14.1631,SELVARAJ. K.,DMK,GUNASEKARAN. S.,AIADMK,75535,70826,4709,2.7,62.74,43.3069,40.607,0.0,0.0,7.3949,8.6912
115,Palladam,Tiruppur,West,GEN,needs_source,,,,,,NATARAJAN. A,AIADMK,KRISHNAMOORTHY. S,DMK,111866.0,79692.0,32174.0,13.52,71.68,33.4888,47.0092,5.5163,0.0,1.2233,12.7624,ANANDAN M S M,AIADMK,MUTHURATHINAM K,DMK,126903,94212,32691,12.5,66.7,36.026,48.5268,0.0,0.0,7.8482,7.599
116,Sulur,Coimbatore,West,GEN,needs_source,,,,,,KANAGARAJ R.,AIADMK,MANOHARAN V.M.C.,INC,100977.0,64346.0,36631.0,17.19,75.6,0.0,47.3801,6.3424,30.1922,1.3481,14.7372,KANDASAMY V.P.,AIADMK,PREMIER SELVAM (a)KALICHAMY M,DMK,118968,87036,31932,13.21,75.57,36.0169,49.2309,0.0,0.0,5.9697,8.7825
117,Kavundampalayam,Coimbatore,West,GEN,needs_source,,,,,,ARUKUTTY V.C.,AIADMK,PAYYA GOUNDER @ KRISHNAN R.,DMK,110870.0,102845.0,8025.0,2.95,66.42,37.7551,40.7012,8.2394,0.0,1.3711,11.9332,G.Arunkumar,AIADMK,R.Krishnan,DMK,135669,125893,9776,3.15,66.13,40.6214,43.7758,0.0,0.0,5.7748,9.828
118,Coimbatore North,Coimbatore,West,GEN,needs_source,,,,,,ARUN KUMAR P.R.G.,AIADMK,S.MEENALOGU,DMK,77540.0,69816.0,7724.0,4.09,62.06,36.9628,41.0521,8.8632,0.0,1.6486,11.4733,AMMAN K.ARJUNAN,AIADMK,SHANMUGASUNDARAM V.M,DMK,81454,77453,4001,1.97,59.21,38.192,40.1649,0.0,0.0,5.6376,16.0055
119,Thondamuthur,Coimbatore,West,GEN,needs_source,,,,,,VELUMANIS.P.,AIADMK,KOVAI SYED @ SYED MOHAMMEDM.A.,Other,109519.0,45478.0,64041.0,32.17,66.96,0.0,55.007,9.5645,0.0,1.2094,34.2191,S.P. VELUMANI,AIADMK,KARTHIKEYA,DMK,124225,82595,41630,18.06,70.22,35.8282,53.8865,0.0,0.0,3.4885,6.7968
120,Coimbatore South,Coimbatore,West,GEN,needs_source,,,,,,ARJUNAN @ AMMAN ARJUNANK.,AIADMK,MAYURA JAYAKUMARS.,INC,59788.0,42369.0,17419.0,11.35,62.59,0.0,38.9415,21.5674,27.596,1.6225,10.2726,VANATHI SRINIVASAN,BJP,KAMALHAASAN,MNM,53209,51481,1728,1.12,60.69,0.0,0.0,34.3805,27.3854,2.7784,35.4557
121,Singanallur,Coimbatore,West,GEN,needs_source,,,,,,KARTHIK N.,DMK,SINGAI MUTHU N.,AIADMK,75459.0,70279.0,5180.0,2.75,61.85,40.0247,37.2772,8.8076,0.0,2.3094,11.5811,"Jayaram, K.R",AIADMK,"Karthik, N",DMK,81244,70390,10854,5.37,61.73,34.8429,40.2156,0.0,0.0,4.1412,20.8003
122,Kinathukadavu,Coimbatore,West,GEN,needs_source,,,,,,SHANMUGAM A.,AIADMK,KURICHI PRABHAKARAN,DMK,89042.0,87710.0,1332.0,0.64,70.0,42.1705,42.8109,5.4589,0.0,0.9356,8.6241,Damodaran.S,AIADMK,Kuruchi Prabhakaran,DMK,101537,100442,1095,0.47,70.64,43.2129,43.684,0.0,0.0,4.853,8.2501
123,Pollachi,Coimbatore,West,GEN,needs_source,,,,,,POLLACHI V JAYARAMAN,AIADMK,TAMILMANI R.,DMK,78553.0,65185.0,13368.0,7.93,77.7,38.6588,46.5869,3.1806,0.0,0.8119,10.7618,Pollachi V. Jayaraman,AIADMK,"Dr. Varadharajan, K.",DMK,80567,78842,1725,0.97,77.34,44.4661,45.439,0.0,0.0,3.6107,6.4842
124,Valparai,Coimbatore,West,SC,needs_source,,,,,,KASTHURI VASU V.,AIADMK,PAULPANDI T.,DMK,69980.0,61736.0,8244.0,5.74,73.04,42.9489,48.6841,1.7844,0.0,0.7089,5.8737,AMULKANDASAMI T K,AIADMK,ARUMUGAM M,CPI,71672,59449,12223,8.42,70.04,0.0,49.3704,0.0,0.0,5.2572,45.3724
125,Udumalaipettai,Tiruppur,West,GEN,needs_source,,,,,,RADHAKRISHNAN. K,AIADMK,MUTHU. MU. KA,DMK,81817.0,76130.0,5687.0,3.11,73.56,41.62,44.729,4.0122,0.0,0.0,9.6388,"Radhakrishnan,K.",AIADMK,"Thennarasu,K.",INC,96893,74998,21895,11.27,71.31,0.0,49.8528,0.0,38.5876,4.4207,7.1389
