ac_no,ac_name,district,region,reservation,urban_rural_type,total_voters,male_voters,female_voters,gender_gap,first_time_voters,winner_2016,winner_party_2016,runner_up_2016,runner_up_party_2016,winner_votes_2016,runner_up_votes_2016,margin_votes_2016,margin_pct_2016,turnout_pct_2016,dmk_vote_share_2016,aiadmk_vote_share_2016,bjp_vote_share_2016,congress_vote_share_2016,ntk_vote_share_2016,others_vote_share_2016,winner_2021,winner_party_2021,runner_up_2021,runner_up_party_2021,winner_votes_2021,runner_up_votes_2021,margin_votes_2021,margin_pct_2021,turnout_pct_2021,dmk_vote_share_2021,aiadmk_vote_share_2021,bjp_vote_share_2021,congress_vote_share_2021,ntk_vote_share_2021,others_vote_share_2021
15,Thiru-Vi-Ka-Nagar,Chennai,Chennai_Metro,SC,needs_source,,,,,,SIVAKUMAR P @ THAYAGAM KAVI,DMK,NEELAKANDAN V,AIADMK,61744.0,58422.0,3322.0,2.43,63.47,45.2503,42.8157,0.0,0.0,1.3419,10.5921,SIVAKUMAR.P,DMK,KALYANI.P.L,AIADMK,81727,26714,55013,41.15,60.62,61.129,19.9812,0.0,0.0,8.1685,10.7213
16,Egmore,Chennai,Chennai_Metro,SC,needs_source,,,,,,RAVICHANDRAN K.S,DMK,PARITHI ELLAMVAZHUTHI E,AIADMK,55060.0,44381.0,10679.0,8.85,63.0,45.6418,36.7895,5.9344,0.0,1.202,10.4323,I.PARANTHAMEN,DMK,B.JOHN PANDIAN,AIADMK,68832,30064,38768,32.5,61.13,57.7106,25.2065,0.0,0.0,5.262,11.8209
17,Royapuram,Chennai,Chennai_Metro,GEN,needs_source,,,,,,JAYAKUMAR D,AIADMK,MANOHAR R,INC,55205.0,47174.0,8031.0,6.58,63.51,0.0,45.2066,2.9169,38.6302,1.9547,11.2916,MURTHY.R.IDREAM,DMK,JAYAKUMAR.D,AIADMK,64424,36645,27779,22.92,62.6,53.1591,30.2374,0.0,0.0,6.5624,10.0411
18,Harbour,Chennai,Chennai_Metro,GEN,needs_source,,,,,,SEKAR BABU P K,DMK,SREENIVASAN K S,AIADMK,42071.0,37235.0,4836.0,4.64,55.4,40.3605,35.7211,12.8139,0.0,0.8653,10.2392,SEKARBABU. P.K,DMK,VINOJ. P. SELVAM,BJP,59317,32043,27274,26.83,57.64,58.3542,0.0,31.5229,0.0,3.3025,6.8204
19,Chepauk-Thiruvallikeni,Chennai,Chennai_Metro,GEN,needs_source,,,,,,J.ANBAZHAGAN,DMK,A.NOORJAHAN,AIADMK,67982.0,53818.0,14164.0,9.86,62.3,47.3198,37.4608,4.372,0.0,1.2599,9.5875,UDHAYANIDHI STALIN,DMK,KASSALI A.V.A,PMK,93285,23930,69355,50.47,58.33,67.8905,0.0,0.0,0.0,6.6904,25.4191
20,Thousand Lights,Chennai,Chennai_Metro,GEN,needs_source,,,,,,SELVAM KU. KA,DMK,VALARMATHI B,AIADMK,61726.0,52897.0,8829.0,6.2,60.41,43.346,37.146,5.9802,0.0,1.4571,12.0707,EZHILAN N,DMK,KUSHBOO SUNDAR,BJP,71867,39405,32462,23.88,56.25,52.8667,0.0,28.9871,0.0,6.5352,11.611
21,Anna Nagar,Chennai,Chennai_Metro,GEN,needs_source,,,,,,MOHAN M.K.,DMK,GOKULAINDIRA S,AIADMK,70812.0,69726.0,1086.0,0.64,59.99,41.5854,40.9476,5.1867,0.0,1.6943,10.586,M.K. Mohan,DMK,S. Gokula Indira,AIADMK,80054,52609,27445,16.62,57.33,48.4894,31.8657,0.0,0.0,6.303,13.3419
22,Virugampakkam,Chennai,Chennai_Metro,GEN,needs_source,,,,,,V.N.VIRUGAI RAVI,AIADMK,K THANASEKARAN,DMK,65979.0,63646.0,2333.0,1.36,58.63,37.1462,38.5079,11.1866,0.0,1.7077,11.4516,AMV.PRABHAKARA RAJA,DMK,VIRUGAI V.N.RAVI,AIADMK,74351,55984,18367,10.86,57.59,43.972,33.1096,0.0,0.0,6.0235,16.8949
23,Saidapet,Chennai,Chennai_Metro,GEN,needs_source,,,,,,SUBRAMANIAN.MA,DMK,PONNAYAN.C,AIADMK,79279.0,63024.0,16255.0,9.67,59.57,47.1848,37.5103,3.571,0.0,1.6219,10.112,SUBRAMANIAN. MA,DMK,SAIDAI DURAISAMY,AIADMK,80194,50786,29408,18.34,57.36,50.019,31.6765,0.0,0.0,6.6845,11.62
24,Thiyagarayanagar,Chennai,Chennai_Metro,GEN,needs_source,,,,,,SATHYANARAYANAN.B,AIADMK,DR.N.S.KANIMOZHI,DMK,53207.0,50052.0,3155.0,2.22,57.93,35.2524,37.4745,14.0074,0.0,1.4593,11.8064,KARUNANITHI J,DMK,SATHIYANAARAYANAN B,AIADMK,56035,55898,137,0.1,55.99,40.5716,40.4724,0.0,0.0,5.9979,12.9581
