year,election_type,party,seats_won,votes,vote_share
2024,Lok Sabha,DMK,22,11689879,26.93
2024,Lok Sabha,INC,9,4632770,10.67
2024,Lok Sabha,CPI(M),2,1095592,2.52
2024,Lok Sabha,VCK,2,982117,2.25
2024,Lok Sabha,CPI,2,932954,2.15
2024,Lok Sabha,MDMK,1,542213,1.28
2024,Lok Sabha,IUML,1,506690,1.17
2024,Lok Sabha,AIADMK,0,8880801,20.46
2024,Lok Sabha,DMDK,0,1123444,2.59
2024,Lok Sabha,BJP,0,4880954,11.24
2024,Lok Sabha,PMK,0,1879689,4.33
2024,Lok Sabha,NTK,0,3560485,8.200000000000001
