year,ac_no,ac_name,district,winner,winner_party,runner_up,runner_party,winner_votes,runner_votes,margin_votes,winner_vote_share,runner_vote_share
2016,39,Sholingur,Ranipet,PARTHIBAN.N.G,AIADMK_NDA,MUNIRATHINAM.A.M,DMK_ALLIANCE,77651,67919,9732,36.79,32.18
2016,40,Katpadi,Vellore,DURAIMURUGAN,DMK_ALLIANCE,APPU S.R.K,AIADMK_NDA,90534,66588,23946,50.9,37.44
2016,41,Ranipet,Ranipet,GANDHI.R,DMK_ALLIANCE,ELUMALAI. C,AIADMK_NDA,81724,73828,7896,42.85,38.71
2016,42,Arcot,Ranipet,ESWARAPPAN J L,DMK_ALLIANCE,RAMADOSS.K.V,AIADMK_NDA,84182,73091,11091,41.39,35.94
2016,43,Vellore,Vellore,KARTHIKEYAN,DMK_ALLIANCE,HARUN RASHEED,AIADMK_NDA,88264,62054,26210,51.53,36.23
2016,44,Anaikattu,Vellore,NANDAKUMAR. A.P,DMK_ALLIANCE,KALAIARASU. M,AIADMK_NDA,77058,68290,8768,42.43,37.6
2016,45,Kilvaithinankuppam,Vellore,LOGANATHAN.G,AIADMK_NDA,AMALU V,DMK_ALLIANCE,75612,65866,9746,45.76,39.86
2016,46,Gudiyattam,Vellore,JAYANTHI PADMANABHAN .C,AIADMK_NDA,RAJAMARTHANDAN K.,DMK_ALLIANCE,94689,83219,11470,48.56,42.68
2016,47,Vaniyambadi,Tirupattur,NILOFER,AIADMK_NDA,SYED FAROOQ,DMK_ALLIANCE,69588,55062,14526,40.31,31.89
2016,48,Ambur,Tirupattur,BALASUBRAMANIR.(E),AIADMK_NDA,NAZEER AHMEDV.R.,OTHERS,79182,51176,28006,49.16,31.77
2016,49,Jolarpet,Tirupattur,VEERAMANI.K.C.,AIADMK_NDA,KAVITHA.C,DMK_ALLIANCE,82525,71534,10991,45.57,39.5
2016,50,Tirupattur,Tirupattur,NALLATHAMBI. A,DMK_ALLIANCE,KUMAR.T.T,AIADMK_NDA,80791,73144,7647,45.43,41.13
2016,51,Uthangarai,Krishnagiri,N.MANORANJITHAM,AIADMK_NDA,S.MALATHY,DMK_ALLIANCE,69980,67367,2613,38.75,37.3
2016,52,Bargur,Krishnagiri,V.RAJENDRAN,AIADMK_NDA,GOVINDDARASAN.E.C,DMK_ALLIANCE,80650,79668,982,42.89,42.36
2016,53,Krishnagiri,Krishnagiri,T.SENGUTTUVAN,DMK_ALLIANCE,V.GOVINDARAJ,AIADMK_NDA,87637,82746,4891,43.8,41.35
2016,54,Veppanahalli,Krishnagiri,MURUGAN P,DMK_ALLIANCE,MADHU A.V.M @ HEMNATH M,AIADMK_NDA,88952,83724,5228,46.01,43.31
2016,55,Hosur,Krishnagiri,BALAKRISHNA REDDY P,AIADMK_NDA,GOPINATH K,DMK_ALLIANCE,89510,66546,22964,41.59,30.92
2016,56,Thalli,Krishnagiri,PRAKAASHY.,DMK_ALLIANCE,RAMACHANDRANT.,DMK_ALLIANCE,74429,68184,6245,39.31,36.01
2016,57,Palacode,Dharmapuri,ANBALAGAN. K.P.,AIADMK_NDA,MURUGAN. P.K.,DMK_ALLIANCE,76143,70160,5983,40.34,37.17
2016,58,Pennagaram,Dharmapuri,INBASEKARAN. P.N.P.,DMK_ALLIANCE,ANBUMANI RAMADOSS,OTHERS,76848,58402,18446,38.49,29.25
2016,59,Dharmapuri,Dharmapuri,SUBRAMANI. P.,DMK_ALLIANCE,ELANGOVAN. P.D.,AIADMK_NDA,71056,61380,9676,34.25,29.58
2016,60,Pappireddippatti,Dharmapuri,PALANIYAPPAN. P,AIADMK_NDA,SATHIYAMOORTHY. A,OTHERS,74234,61521,12713,35.56,29.47
2016,61,Harur,Dharmapuri,R.MURUGAN,AIADMK_NDA,S.RAJENDRAN,DMK_ALLIANCE,64568,53147,11421,33.96,27.95
2016,62,Chengam,Tiruvannamalai,GIRI .M.P,DMK_ALLIANCE,DINAGARAN. M,AIADMK_NDA,95939,83248,12691,45.6,39.57
2016,63,Tiruvannamalai,Tiruvannamalai,VELUE.V.,DMK_ALLIANCE,RAJANK,AIADMK_NDA,116484,66136,50348,57.15,32.45
2016,64,Kilpennathur,Tiruvannamalai,PITCHANDI K,DMK_ALLIANCE,SELVAMANI K,AIADMK_NDA,99070,64404,34666,50.22,32.64
2016,65,Kalasapakkam,Tiruvannamalai,PANNEERSELVAM V,AIADMK_NDA,KUMAR G,DMK_ALLIANCE,84394,57980,26414,45.41,31.2
2016,66,Polur,Tiruvannamalai,SEKARAN.K.V,DMK_ALLIANCE,MURUGAN.M,AIADMK_NDA,66588,58315,8273,34.02,29.8
2016,67,Arani,Tiruvannamalai,RAMACHANDRAN S,AIADMK_NDA,BABU S,DMK_ALLIANCE,94074,86747,7327,44.89,41.4
2016,68,Cheyyar,Tiruvannamalai,MOHAN K,AIADMK_NDA,DR. VISHNUPRASAD M K,DMK_ALLIANCE,77766,69239,8527,37.78,33.64
2016,69,Vandavasi,Tiruvannamalai,AMBETHKUMAR S,DMK_ALLIANCE,MEGANATHAN V,AIADMK_NDA,80206,62138,18068,44.2,34.24
2016,70,Gingee,Viluppuram,MASTHAN K S,DMK_ALLIANCE,GOVINDASAMY A,AIADMK_NDA,88440,66383,22057,43.99,33.02
2016,71,Mailam,Viluppuram,MASILAMANI R,DMK_ALLIANCE,ANNADURAI K,AIADMK_NDA,70880,58574,12306,41.4,34.21
2016,72,Tindivanam,Viluppuram,SEETHAPATHY P,DMK_ALLIANCE,RAJENDRAN S P,AIADMK_NDA,61879,61778,101,35.33,35.27
2016,73,Vanur,Viluppuram,CHAKRAPANI M,AIADMK_NDA,MYDILI R,DMK_ALLIANCE,64167,53944,10223,36.79,30.93
2016,74,Viluppuram,Viluppuram,SHANMUGAM C VE,AIADMK_NDA,AMEER ABBAS S M,DMK_ALLIANCE,69421,47130,22291,36.74,24.94
2016,75,Vikravandi,Viluppuram,RATHAMANI.K,DMK_ALLIANCE,VELU R,AIADMK_NDA,63757,56845,6912,35.69,31.82
2016,76,Tirukkoyilur,Viluppuram,PONMUDY K,DMK_ALLIANCE,GOTHANDARAMAN G,AIADMK_NDA,93837,52780,41057,49.8,28.01
2016,77,Ulundurpettai,Kallakurichi,KUMARAGURU R.,AIADMK_NDA,VASANTHAVEL G.R.,DMK_ALLIANCE,81973,77809,4164,36.04,34.21
2016,78,Rishivandiyam,Kallakurichi,KARTHIKEYAN.K,DMK_ALLIANCE,DHANDAPANI.K,AIADMK_NDA,92607,72104,20503,47.08,36.66
2016,79,Sankarapuram,Kallakurichi,UDHAYASURIYAN.T,DMK_ALLIANCE,MOHAN P,AIADMK_NDA,90920,76392,14528,44.72,37.58
2016,80,Kallakurichi,Kallakurichi,PRABHU A,AIADMK_NDA,KAMARAJ P,DMK_ALLIANCE,90108,86004,4104,42.16,40.24
2016,81,Gangavalli,Salem,MARUTHAMUTHU.A,AIADMK_NDA,REKHA PRIYADHARSHINI.J,DMK_ALLIANCE,74301,72039,2262,42.22,40.94
2016,82,Attur,Salem,CHINNATHAMBI R M,AIADMK_NDA,ARTHANARI S K,DMK_ALLIANCE,82827,65493,17334,44.34,35.06
2016,83,Yercaud,Salem,CHITRA.G,AIADMK_NDA,TAMILSELVAN.C,DMK_ALLIANCE,100562,83168,17394,45.18,37.37
