year,election_type,party,seats_won,votes,vote_share
2014,Lok Sabha,AIADMK,37,17978922,44.92
2014,Lok Sabha,BJP,1,2224577,5.56
2014,Lok Sabha,PMK,1,2203785,5.510000000000001
2014,Lok Sabha,DMK,0,9249740,23.13
2014,Lok Sabha,INC,0,1877555,4.7
2014,Lok Sabha,DMDK,0,2080411,5.2
2014,Lok Sabha,CPI,0,785221,1.96
2014,Lok Sabha,CPI(M),0,805435,2.01
