Party / Alliance,Seats won,Votes,Vote share
DMK-led alliance total,38,22789020,0.5252
DMK,24,14363332,0.331
INC,8,5405674,0.1246
CPI,2,1031617,0.0238
CPI(M),2,1018225,0.0235
VCK,1,500229,0.0115
IUML,1,469943,0.0108
AIADMK-led/NDA total,1,13307139,0.3067
AIADMK,1,8674647,0.1999
PMK,0,2297431,0.0529
BJP,0,1551924,0.0358
DMDK,0,929590,0.0214
NTK,0,1672217,0.0385
MNM,0,1575640,0.0363
