ac_no,ac_name,reservation,district,region_5way,is_reserved,election_cycle
92,Rasipuram,SC,Namakkal,West,1,TNLA_2026
93,Senthamangalam,ST,Namakkal,West,1,TNLA_2026
94,Namakkal,GEN,Namakkal,West,0,TNLA_2026
95,Paramathi-Velur,GEN,Namakkal,West,0,TNLA_2026
96,Tiruchengodu,GEN,Namakkal,West,0,TNLA_2026
97,Kumarapalayam,GEN,Namakkal,West,0,TNLA_2026
98,Erode East,GEN,Erode,West,0,TNLA_2026
99,Erode West,GEN,Erode,West,0,TNLA_2026
100,Modakkurichi,GEN,Erode,West,0,TNLA_2026
101,Dharapuram,SC,Tiruppur,West,1,TNLA_2026
102,Kangayam,GEN,Tiruppur,West,0,TNLA_2026
103,Perundurai,GEN,Erode,West,0,TNLA_2026
104,Bhavani,GEN,Erode,West,0,TNLA_2026
105,Anthiyur,GEN,Erode,West,0,TNLA_2026
106,Gobichettipalayam,GEN,Erode,West,0,TNLA_2026
107,Bhavanisagar,SC,Erode,West,1,TNLA_2026
108,Udhagamandalam,GEN,The Nilgiris,West,0,TNLA_2026
109,Gudalur,SC,The Nilgiris,West,1,TNLA_2026
110,Coonoor,GEN,The Nilgiris,West,0,TNLA_2026
111,Mettuppalayam,GEN,Coimbatore,West,0,TNLA_2026
112,Avanashi,SC,Tiruppur,West,1,TNLA_2026
113,Tiruppur North,GEN,Tiruppur,West,0,TNLA_2026
114,Tiruppur South,GEN,Tiruppur,West,0,TNLA_2026
115,Palladam,GEN,Tiruppur,West,0,TNLA_2026
116,Sulur,GEN,Coimbatore,West,0,TNLA_2026
117,Kavundampalayam,GEN,Coimbatore,West,0,TNLA_2026
118,Coimbatore North,GEN,Coimbatore,West,0,TNLA_2026
119,Thondamuthur,GEN,Coimbatore,West,0,TNLA_2026
120,Coimbatore South,GEN,Coimbatore,West,0,TNLA_2026
121,Singanallur,GEN,Coimbatore,West,0,TNLA_2026
122,Kinathukadavu,GEN,Coimbatore,West,0,TNLA_2026
123,Pollachi,GEN,Coimbatore,West,0,TNLA_2026
124,Valparai,SC,Coimbatore,West,1,TNLA_2026
125,Udumalaipettai,GEN,Tiruppur,West,0,TNLA_2026
126,Madathukulam,GEN,Tiruppur,West,0,TNLA_2026
127,Palani,GEN,Dindigul,Central,0,TNLA_2026
128,Oddanchatram,GEN,Dindigul,Central,0,TNLA_2026
129,Athoor,GEN,Dindigul,Central,0,TNLA_2026
130,Nilakkottai,SC,Dindigul,Central,1,TNLA_2026
131,Natham,GEN,Dindigul,Central,0,TNLA_2026
132,Dindigul,GEN,Dindigul,Central,0,TNLA_2026
133,Vedasandur,GEN,Dindigul,Central,0,TNLA_2026
134,Aravakurichi,GEN,Karur,Central,0,TNLA_2026
135,Karur,GEN,Karur,Central,0,TNLA_2026
136,Krishnarayapuram,SC,Karur,Central,1,TNLA_2026
137,Kulithalai,GEN,Karur,Central,0,TNLA_2026
138,Manapparai,GEN,Tiruchirappalli,Central,0,TNLA_2026
139,Srirangam,GEN,Tiruchirappalli,Central,0,TNLA_2026
140,Tiruchirappalli West,GEN,Tiruchirappalli,Central,0,TNLA_2026
141,Tiruchirappalli East,GEN,Tiruchirappalli,Central,0,TNLA_2026
142,Thiruverumbur,GEN,Tiruchirappalli,Central,0,TNLA_2026
143,Lalgudi,GEN,Tiruchirappalli,Central,0,TNLA_2026
144,Manachanallur,GEN,Tiruchirappalli,Central,0,TNLA_2026
145,Musiri,GEN,Tiruchirappalli,Central,0,TNLA_2026
146,Thuraiyur,SC,Tiruchirappalli,Central,1,TNLA_2026
147,Perambalur,SC,Perambalur,Central,1,TNLA_2026
148,Kunnam,GEN,Perambalur,Central,0,TNLA_2026
149,Ariyalur,GEN,Ariyalur,Central,0,TNLA_2026
150,Jayankondam,GEN,Ariyalur,Central,0,TNLA_2026
151,Tittakudi,SC,Cuddalore,Central,1,TNLA_2026
152,Vriddhachalam,GEN,Cuddalore,Central,0,TNLA_2026
153,Neyveli,GEN,Cuddalore,Central,0,TNLA_2026
154,Panruti,GEN,Cuddalore,Central,0,TNLA_2026
155,Cuddalore,GEN,Cuddalore,Central,0,TNLA_2026
156,Kurinjipadi,GEN,Cuddalore,Central,0,TNLA_2026
157,Bhuvanagiri,GEN,Cuddalore,Central,0,TNLA_2026
158,Chidambaram,GEN,Cuddalore,Central,0,TNLA_2026
159,Kattumannarkoil,SC,Cuddalore,Central,1,TNLA_2026
160,Sirkazhi,SC,Mayiladuthurai,Central,1,TNLA_2026
161,Mayiladuthurai,GEN,Mayiladuthurai,Central,0,TNLA_2026
