Party / Alliance,Seats won,Votes,Vote share
DMK-led alliance total,159,20982088,0.4538
DMK,133,17430179,0.377
INC,18,1976527,0.0427
CPI,2,504537,0.0109
CPI(M),2,390819,0.0085
VCK,4,457763,0.0099
AIADMK-led alliance total,75,18363499,0.3971
AIADMK,66,15391055,0.3329
PMK,5,1758774,0.038
BJP,4,1213510,0.0262
NTK,0,3040974,0.0658
AMMK,0,1085915,0.0235
MNM,0,1210337,0.0262
