Party / Alliance,Seats won,Votes,Vote share
AIADMK,135,17616266,0.4077
DMK,88,13669116,0.3164
INC,8,2739866,0.0634
PMK,0,2300558,0.0532
DMDK,0,1034384,0.0239
CPI,0,354545,0.0082
CPI(M),0,307303,0.0071
IUML,1,313808,0.0073
