Party / Alliance,Seats won,Votes,Vote share
AIADMK,37,17978922,0.4492
BJP,1,2224577,0.0556
PMK,1,2203785,0.0551
DMK,0,9249740,0.2313
INC,0,1877555,0.047
DMDK,0,2080411,0.052
CPI,0,785221,0.0196
CPI(M),0,805435,0.0201
